iter	RMSE
0	5.269955016
1	5.24932278
2	5.22887917
3	5.19769282
4	5.170540233
5	5.147191945
6	5.119636847
7	5.102505424
8	5.066119164
9	5.040517082
10	5.01616534
11	4.990848668
12	4.971490676
13	4.952608265
14	4.933437634
15	4.918283076
16	4.904991766
17	4.892102893
18	4.880226185
19	4.854116758
20	4.836055158
21	4.816997114
22	4.783896154
23	4.759877352
24	4.742096139
25	4.718289197
26	4.689267469
27	4.679131536
28	4.655535597
29	4.642296452
30	4.631759848
31	4.610689658
32	4.593162399
33	4.583047899
34	4.561275004
35	4.539728018
36	4.521732921
37	4.504446196
38	4.48759345
39	4.475683302
40	4.455725979
41	4.435583309
42	4.417631125
43	4.394360234
44	4.382404878
45	4.370159629
46	4.356833306
47	4.336978151
48	4.327680483
49	4.319597964
50	4.307826783
51	4.290627783
52	4.270784297
53	4.263376445
54	4.246211407
55	4.230245422
56	4.223272993
57	4.211192121
58	4.195382917
59	4.182032984
60	4.17053642
61	4.157097076
62	4.146038344
63	4.133531315
64	4.121901556
65	4.101519232
66	4.089460584
67	4.083332941
68	4.074142036
69	4.054835944
70	4.038035753
71	4.026866805
72	4.0137282
73	4.005996122
74	3.987948089
75	3.972128787
76	3.960654349
77	3.949851023
78	3.938854461
79	3.927162738
80	3.907737348
81	3.885786913
82	3.87547717
83	3.860217617
84	3.850165132
85	3.843437342
86	3.832674126
87	3.821600741
88	3.811613427
89	3.803863555
90	3.789896296
91	3.784750912
92	3.767613112
93	3.75911477
94	3.748104329
95	3.740737392
96	3.723601114
97	3.715591303
98	3.697432937
99	3.687847898
100	3.670095134
101	3.663004405
102	3.654787196
103	3.647177174
104	3.634363043
105	3.627040571
106	3.617863566
107	3.603244064
108	3.592775255
109	3.584877977
110	3.576834122
111	3.568952186
112	3.562835761
113	3.542774288
114	3.529627039
115	3.523463967
116	3.502741935
117	3.494386885
118	3.486065783
119	3.477160931
120	3.470491478
121	3.455257203
122	3.44464081
123	3.436915201
124	3.42507805
125	3.419258856
126	3.401829957
127	3.392203576
128	3.381466766
129	3.373684023
130	3.365744972
131	3.354635495
132	3.350109076
133	3.339210075
134	3.328386663
135	3.31589627
136	3.308456171
137	3.30253747
138	3.288080564
139	3.27543375
140	3.270045006
141	3.258232716
142	3.246561246
143	3.241566581
144	3.23317216
145	3.222869341
146	3.210955751
147	3.204633216
148	3.193330801
149	3.187623827
150	3.175115321
151	3.169073942
152	3.158898571
153	3.147123232
154	3.137172193
155	3.127064689
156	3.116808371
157	3.110235542
158	3.099264268
159	3.087619418
160	3.081656032
161	3.074757579
162	3.061827505
163	3.047887261
164	3.041779449
165	3.03290386
166	3.024851944
167	3.021875855
168	3.013319657
169	3.002463585
170	2.993675706

