iter	Passed	Remaining
0	0	40
1	0	30
2	0	28
3	0	26
4	0	24
5	0	23
6	0	22
7	1	22
8	1	21
9	1	21
10	1	20
11	1	20
12	1	20
13	1	20
14	1	19
15	2	19
16	2	19
17	2	19
18	2	19
19	2	18
20	2	18
21	2	18
22	2	18
23	2	17
24	3	17
25	3	17
26	3	17
27	3	17
28	3	17
29	3	16
30	3	16
31	3	16
32	3	16
33	4	17
34	4	17
35	4	17
36	4	17
37	4	16
38	4	16
39	5	16
40	5	17
41	5	17
42	5	16
43	6	17
44	6	17
45	6	17
46	6	17
47	6	17
48	6	17
49	7	17
50	7	17
51	7	17
52	7	16
53	8	17
54	8	18
55	9	18
56	9	18
57	9	18
58	10	19
59	10	18
60	10	18
61	10	18
62	10	18
63	11	18
64	11	18
65	11	18
66	12	18
67	12	19
68	12	19
69	13	18
70	13	18
71	13	18
72	13	18
73	13	18
74	14	18
75	14	18
76	14	17
77	15	17
78	15	17
79	15	17
80	15	17
81	15	17
82	15	16
83	16	16
84	16	16
85	16	16
86	17	16
87	17	16
88	17	16
89	18	16
90	18	15
91	18	15
92	18	15
93	19	15
94	19	15
95	19	15
96	19	15
97	20	14
98	20	15
99	20	14
100	21	14
101	21	14
102	21	14
103	21	14
104	22	14
105	22	13
106	22	13
107	22	13
108	22	12
109	23	12
110	23	12
111	23	12
112	23	12
113	24	12
114	24	11
115	24	11
116	25	11
117	25	11
118	25	11
119	26	11
120	26	10
121	26	10
122	27	10
123	27	10
124	27	10
125	27	9
126	27	9
127	28	9
128	28	9
129	28	9
130	29	8
131	29	8
132	29	8
133	29	8
134	30	8
135	30	7
136	30	7
137	30	7
138	30	7
139	30	6
140	31	6
141	31	6
142	31	6
143	31	5
144	31	5
145	31	5
146	31	5
147	31	4
148	31	4
149	32	4
150	32	4
151	32	4
152	32	3
153	32	3
154	32	3
155	32	3
156	32	2
157	33	2
158	33	2
159	33	2
160	33	2
161	33	1
162	33	1
163	33	1
164	33	1
165	33	1
166	34	0
167	34	0
168	34	0
169	34	0
170	34	0
8	37	0
169	38	0
170	38	0
